distance_m,velocity_m_per_s
42.79169625048783,20.76753507014028
42.993831013617786,20.81563126252505
43.196441904760725,20.86372745490982
43.3995289239191,20.91182364729459
43.617912972539486,20.95991983967936
43.821986256866005,21.008016032064127
44.02653566921016,21.0561122244489
44.23156120955784,21.104208416833668
44.437062877923154,21.152304609218437
44.64304067430624,21.200400801603205
44.84949459869369,21.248496993987974
45.056424651103114,21.296593186372746
45.263830831519385,21.344689378757515
45.48684012369152,21.392785571142284
45.695232569283625,21.440881763527052
45.904101142883405,21.488977955911825
46.1134458444915,21.537074148296593
46.32326667412293,21.585170340681362
46.53356363176155,21.63326653306613
46.74433671741202,21.681362725450903
46.9555859310797,21.72945891783567
47.167311272756315,21.77755511022044
47.39494580848574,21.82565130260521
47.607657415336334,21.87374749498998
47.82084515019536,21.92184368737475
48.0345090130684,21.96993987975952
48.24864900395726,22.018036072144287
48.46326512285532,22.06613226452906
48.678357369767255,22.11422845691383
48.89392574469864,22.162324649298597
49.10997024763283,22.210420841683366
49.342230026916674,22.258517034068134
49.559260795031115,22.306613226452907
49.776767691147796,22.354709418837675
49.99475071528839,22.402805611222444
50.213209867434756,22.450901803607213
50.432145147589644,22.498997995991985
50.65155655576929,22.547094188376754
50.871444091954345,22.595190380761522
51.0918077561516,22.64328657314629
51.312647548367735,22.691382765531063
51.533963468590976,22.739478957915832
51.77186876574267,22.7875751503006
51.99417095114149,22.83567134268537
52.21694926454733,22.88376753507014
52.44020370596614,22.93186372745491
52.66393427540428,22.97995991983968
52.88814097284898,23.028056112224448
53.1128237983073,23.076152304609217
53.33798275178712,23.12424849699399
53.56361783326726,23.172344689378757
53.7897290427646,23.220440881763526
54.016316380283556,23.268537074148295
54.25986719530042,23.316633266533067
54.487440797989215,23.364729458917836
54.7154905286814,23.412825651302605
54.94401638738388,23.460921843687373
55.17301837411161,23.509018036072145
55.40249648884349,23.557114228456914
55.6324507315874,23.605210420841683
55.862881102351025,23.65330661322645
56.09378760112173,23.701402805611224
56.325170227904344,23.749498997995993
56.55702898270788,23.79759519038076
